"uu","vv"
-0.595,0.28
-0.595,0.3
-0.595,0.32
-0.595,0.34
-0.595,0.36
-0.595,0.38
-0.595,0.4
-0.595,0.42
-0.595,0.44
-0.595,0.46
-0.595,0.48
-0.595,0.5
-0.595,0.52
-0.595,0.54
-0.595,0.56
-0.595,0.58
-0.595,0.6
-0.595,0.62
-0.595,0.64
-0.595,0.66
-0.55,-0.7
-0.55,-0.68
-0.55,-0.66
-0.55,-0.64
-0.55,-0.62
-0.55,-0.6
-0.55,-0.58
-0.55,-0.56
-0.55,-0.54
-0.55,-0.52
-0.55,-0.5
-0.55,-0.48
-0.55,-0.46
-0.55,-0.44
-0.55,-0.42
-0.55,-0.4
-0.55,-0.38
-0.55,-0.36
-0.55,-0.34
-0.55,-0.32
-0.55,-0.3
-0.55,-0.28
-0.55,-0.26
-0.55,-0.24
-0.55,-0.22
-0.55,-0.2
-0.55,-0.18
-0.55,-0.16
-0.55,-0.14
-0.55,-0.12
-0.55,-0.1
-0.55,-0.08
-0.55,-0.0599999999999999
-0.55,-0.04
-0.55,-0.02
-0.55,0
-0.55,0.02
-0.55,0.04
-0.55,0.06
-0.55,0.0800000000000001
-0.55,0.1
-0.55,0.12
-0.55,0.14
-0.55,0.16
-0.55,0.18
-0.55,0.2
-0.55,0.22
-0.55,0.24
-0.55,0.26
-0.55,0.28
-0.55,0.3
-0.55,0.32
-0.55,0.34
-0.55,0.36
-0.55,0.38
-0.55,0.4
-0.55,0.42
-0.55,0.44
-0.55,0.46
-0.55,0.48
-0.55,0.5
-0.55,0.52
-0.55,0.54
-0.55,0.56
-0.55,0.58
-0.55,0.6
-0.55,0.62
-0.55,0.64
-0.55,0.66
-0.55,0.68
-0.55,0.7
-0.505,-0.74
-0.505,-0.72
-0.505,-0.7
-0.505,-0.68
-0.505,-0.66
-0.505,-0.64
-0.505,-0.62
-0.505,-0.6
-0.505,-0.58
-0.505,-0.56
-0.505,-0.54
-0.505,-0.52
-0.505,-0.5
-0.505,-0.48
-0.505,-0.46
-0.505,-0.44
-0.505,-0.42
-0.505,-0.4
-0.505,-0.38
-0.505,-0.36
-0.505,-0.34
-0.505,-0.32
-0.505,-0.3
-0.505,-0.28
-0.505,-0.26
-0.505,-0.24
-0.505,-0.22
-0.505,-0.2
-0.505,-0.18
-0.505,-0.16
-0.505,-0.14
-0.505,-0.12
-0.505,-0.1
-0.505,-0.08
-0.505,-0.0599999999999999
-0.505,-0.04
-0.505,-0.02
-0.505,0
-0.505,0.02
-0.505,0.04
-0.505,0.06
-0.505,0.0800000000000001
-0.505,0.1
-0.505,0.12
-0.505,0.14
-0.505,0.16
-0.505,0.18
-0.505,0.2
-0.505,0.22
-0.505,0.24
-0.505,0.26
-0.505,0.28
-0.505,0.3
-0.505,0.32
-0.505,0.34
-0.505,0.36
-0.505,0.38
-0.505,0.4
-0.505,0.42
-0.505,0.44
-0.505,0.46
-0.505,0.48
-0.505,0.5
-0.505,0.52
-0.505,0.54
-0.505,0.56
-0.505,0.58
-0.505,0.6
-0.505,0.62
-0.505,0.64
-0.505,0.66
-0.505,0.68
-0.505,0.7
-0.505,0.72
-0.505,0.74
-0.46,-0.76
-0.46,-0.74
-0.46,-0.72
-0.46,-0.7
-0.46,-0.68
-0.46,-0.66
-0.46,-0.64
-0.46,-0.62
-0.46,-0.6
-0.46,-0.58
-0.46,-0.56
-0.46,-0.54
-0.46,-0.52
-0.46,-0.5
-0.46,-0.48
-0.46,-0.46
-0.46,-0.44
-0.46,-0.42
-0.46,-0.4
-0.46,-0.38
-0.46,-0.36
-0.46,-0.34
-0.46,-0.32
-0.46,-0.3
-0.46,-0.28
-0.46,-0.26
-0.46,-0.24
-0.46,-0.22
-0.46,-0.2
-0.46,-0.18
-0.46,-0.16
-0.46,-0.14
-0.46,-0.12
-0.46,-0.1
-0.46,-0.08
-0.46,-0.0599999999999999
-0.46,-0.04
-0.46,-0.02
-0.46,0
-0.46,0.02
-0.46,0.04
-0.46,0.06
-0.46,0.0800000000000001
-0.46,0.1
-0.46,0.12
-0.46,0.14
-0.46,0.16
-0.46,0.18
-0.46,0.2
-0.46,0.22
-0.46,0.24
-0.46,0.26
-0.46,0.28
-0.46,0.3
-0.46,0.32
-0.46,0.34
-0.46,0.36
-0.46,0.38
-0.46,0.4
-0.46,0.42
-0.46,0.44
-0.46,0.46
-0.46,0.48
-0.46,0.5
-0.46,0.52
-0.46,0.54
-0.46,0.56
-0.46,0.58
-0.46,0.6
-0.46,0.62
-0.46,0.64
-0.46,0.66
-0.46,0.68
-0.46,0.7
-0.46,0.72
-0.46,0.74
-0.46,0.76
-0.415,-0.78
-0.415,-0.76
-0.415,-0.74
-0.415,-0.72
-0.415,-0.7
-0.415,-0.68
-0.415,-0.66
-0.415,-0.64
-0.415,-0.62
-0.415,-0.6
-0.415,-0.58
-0.415,-0.56
-0.415,-0.54
-0.415,-0.52
-0.415,-0.5
-0.415,-0.48
-0.415,-0.46
-0.415,-0.44
-0.415,-0.42
-0.415,-0.4
-0.415,-0.38
-0.415,-0.36
-0.415,-0.34
-0.415,-0.32
-0.415,-0.3
-0.415,-0.28
-0.415,-0.26
-0.415,-0.24
-0.415,-0.22
-0.415,-0.2
-0.415,-0.18
-0.415,-0.16
-0.415,-0.14
-0.415,-0.12
-0.415,-0.1
-0.415,-0.08
-0.415,-0.0599999999999999
-0.415,-0.04
-0.415,-0.02
-0.415,0
-0.415,0.02
-0.415,0.04
-0.415,0.06
-0.415,0.0800000000000001
-0.415,0.1
-0.415,0.12
-0.415,0.14
-0.415,0.16
-0.415,0.18
-0.415,0.2
-0.415,0.22
-0.415,0.24
-0.415,0.26
-0.415,0.28
-0.415,0.3
-0.415,0.32
-0.415,0.34
-0.415,0.36
-0.415,0.38
-0.415,0.4
-0.415,0.42
-0.415,0.44
-0.415,0.46
-0.415,0.48
-0.415,0.5
-0.415,0.52
-0.415,0.54
-0.415,0.56
-0.415,0.58
-0.415,0.6
-0.415,0.62
-0.415,0.64
-0.415,0.66
-0.415,0.68
-0.415,0.7
-0.415,0.72
-0.415,0.74
-0.415,0.76
-0.415,0.78
-0.37,-0.82
-0.37,-0.8
-0.37,-0.78
-0.37,-0.76
-0.37,-0.74
-0.37,-0.72
-0.37,-0.7
-0.37,-0.68
-0.37,-0.66
-0.37,-0.64
-0.37,-0.62
-0.37,-0.6
-0.37,-0.58
-0.37,-0.56
-0.37,-0.54
-0.37,-0.52
-0.37,-0.5
-0.37,-0.48
-0.37,-0.46
-0.37,-0.44
-0.37,-0.42
-0.37,-0.4
-0.37,-0.38
-0.37,-0.36
-0.37,-0.34
-0.37,-0.32
-0.37,-0.3
-0.37,-0.28
-0.37,-0.26
-0.37,-0.24
-0.37,-0.22
-0.37,-0.2
-0.37,-0.18
-0.37,-0.16
-0.37,-0.14
-0.37,-0.12
-0.37,-0.1
-0.37,-0.08
-0.37,-0.0599999999999999
-0.37,-0.04
-0.37,-0.02
-0.37,0
-0.37,0.02
-0.37,0.04
-0.37,0.06
-0.37,0.0800000000000001
-0.37,0.1
-0.37,0.12
-0.37,0.14
-0.37,0.16
-0.37,0.18
-0.37,0.2
-0.37,0.22
-0.37,0.24
-0.37,0.26
-0.37,0.28
-0.37,0.3
-0.37,0.32
-0.37,0.34
-0.37,0.36
-0.37,0.38
-0.37,0.4
-0.37,0.42
-0.37,0.44
-0.37,0.46
-0.37,0.48
-0.37,0.5
-0.37,0.52
-0.37,0.54
-0.37,0.56
-0.37,0.58
-0.37,0.6
-0.37,0.62
-0.37,0.64
-0.37,0.66
-0.37,0.68
-0.37,0.7
-0.37,0.72
-0.37,0.74
-0.37,0.76
-0.37,0.78
-0.37,0.8
-0.37,0.82
-0.325,-0.82
-0.325,-0.8
-0.325,-0.78
-0.325,-0.76
-0.325,-0.74
-0.325,-0.72
-0.325,-0.7
-0.325,-0.68
-0.325,-0.66
-0.325,-0.64
-0.325,-0.62
-0.325,-0.6
-0.325,-0.58
-0.325,-0.56
-0.325,-0.54
-0.325,-0.52
-0.325,-0.5
-0.325,-0.48
-0.325,-0.46
-0.325,-0.44
-0.325,-0.42
-0.325,-0.4
-0.325,-0.38
-0.325,-0.36
-0.325,-0.34
-0.325,-0.32
-0.325,-0.3
-0.325,-0.28
-0.325,-0.26
-0.325,-0.24
-0.325,-0.22
-0.325,-0.2
-0.325,-0.18
-0.325,-0.16
-0.325,-0.14
-0.325,-0.12
-0.325,-0.1
-0.325,-0.08
-0.325,-0.0599999999999999
-0.325,-0.04
-0.325,-0.02
-0.325,0
-0.325,0.02
-0.325,0.04
-0.325,0.06
-0.325,0.0800000000000001
-0.325,0.1
-0.325,0.12
-0.325,0.14
-0.325,0.16
-0.325,0.18
-0.325,0.2
-0.325,0.22
-0.325,0.24
-0.325,0.26
-0.325,0.28
-0.325,0.3
-0.325,0.32
-0.325,0.34
-0.325,0.36
-0.325,0.38
-0.325,0.4
-0.325,0.42
-0.325,0.44
-0.325,0.46
-0.325,0.48
-0.325,0.5
-0.325,0.52
-0.325,0.54
-0.325,0.56
-0.325,0.58
-0.325,0.6
-0.325,0.62
-0.325,0.64
-0.325,0.66
-0.325,0.68
-0.325,0.7
-0.325,0.72
-0.325,0.74
-0.325,0.76
-0.325,0.78
-0.325,0.8
-0.325,0.82
-0.28,-0.84
-0.28,-0.82
-0.28,-0.8
-0.28,-0.78
-0.28,-0.76
-0.28,-0.74
-0.28,-0.72
-0.28,-0.7
-0.28,-0.68
-0.28,-0.66
-0.28,-0.64
-0.28,-0.62
-0.28,-0.6
-0.28,-0.58
-0.28,-0.56
-0.28,-0.54
-0.28,-0.52
-0.28,-0.5
-0.28,-0.48
-0.28,-0.46
-0.28,-0.44
-0.28,-0.42
-0.28,-0.4
-0.28,-0.38
-0.28,-0.36
-0.28,-0.34
-0.28,-0.32
-0.28,-0.3
-0.28,-0.28
-0.28,-0.26
-0.28,-0.24
-0.28,-0.22
-0.28,-0.2
-0.28,-0.18
-0.28,-0.16
-0.28,-0.14
-0.28,-0.12
-0.28,-0.1
-0.28,-0.08
-0.28,-0.0599999999999999
-0.28,-0.04
-0.28,-0.02
-0.28,0
-0.28,0.02
-0.28,0.04
-0.28,0.06
-0.28,0.0800000000000001
-0.28,0.1
-0.28,0.12
-0.28,0.14
-0.28,0.16
-0.28,0.18
-0.28,0.2
-0.28,0.22
-0.28,0.24
-0.28,0.26
-0.28,0.28
-0.28,0.3
-0.28,0.32
-0.28,0.34
-0.28,0.36
-0.28,0.38
-0.28,0.4
-0.28,0.42
-0.28,0.44
-0.28,0.46
-0.28,0.48
-0.28,0.5
-0.28,0.52
-0.28,0.54
-0.28,0.56
-0.28,0.58
-0.28,0.6
-0.28,0.62
-0.28,0.64
-0.28,0.66
-0.28,0.68
-0.28,0.7
-0.28,0.72
-0.28,0.74
-0.28,0.76
-0.28,0.78
-0.28,0.8
-0.28,0.82
-0.28,0.84
-0.235,-0.86
-0.235,-0.84
-0.235,-0.82
-0.235,-0.8
-0.235,-0.78
-0.235,-0.76
-0.235,-0.74
-0.235,-0.72
-0.235,-0.7
-0.235,-0.68
-0.235,-0.66
-0.235,-0.64
-0.235,-0.62
-0.235,-0.6
-0.235,-0.58
-0.235,-0.56
-0.235,-0.54
-0.235,-0.52
-0.235,-0.5
-0.235,-0.48
-0.235,-0.46
-0.235,-0.44
-0.235,-0.42
-0.235,-0.4
-0.235,-0.38
-0.235,-0.36
-0.235,-0.34
-0.235,-0.32
-0.235,-0.3
-0.235,-0.28
-0.235,-0.26
-0.235,-0.24
-0.235,-0.22
-0.235,-0.2
-0.235,-0.18
-0.235,-0.16
-0.235,-0.14
-0.235,-0.12
-0.235,-0.1
-0.235,-0.08
-0.235,-0.0599999999999999
-0.235,-0.04
-0.235,-0.02
-0.235,0
-0.235,0.02
-0.235,0.04
-0.235,0.06
-0.235,0.0800000000000001
-0.235,0.1
-0.235,0.12
-0.235,0.14
-0.235,0.16
-0.235,0.18
-0.235,0.2
-0.235,0.22
-0.235,0.24
-0.235,0.26
-0.235,0.28
-0.235,0.3
-0.235,0.32
-0.235,0.34
-0.235,0.36
-0.235,0.38
-0.235,0.4
-0.235,0.42
-0.235,0.44
-0.235,0.46
-0.235,0.48
-0.235,0.5
-0.235,0.52
-0.235,0.54
-0.235,0.56
-0.235,0.58
-0.235,0.6
-0.235,0.62
-0.235,0.64
-0.235,0.66
-0.235,0.68
-0.235,0.7
-0.235,0.72
-0.235,0.74
-0.235,0.76
-0.235,0.78
-0.235,0.8
-0.235,0.82
-0.235,0.84
-0.235,0.86
-0.19,-0.86
-0.19,-0.84
-0.19,-0.82
-0.19,-0.8
-0.19,-0.78
-0.19,-0.76
-0.19,-0.74
-0.19,-0.72
-0.19,-0.7
-0.19,-0.68
-0.19,-0.66
-0.19,-0.64
-0.19,-0.62
-0.19,-0.6
-0.19,-0.58
-0.19,-0.56
-0.19,-0.54
-0.19,-0.52
-0.19,-0.5
-0.19,-0.48
-0.19,-0.46
-0.19,-0.44
-0.19,-0.42
-0.19,-0.4
-0.19,-0.38
-0.19,-0.36
-0.19,-0.34
-0.19,-0.32
-0.19,-0.3
-0.19,-0.28
-0.19,-0.26
-0.19,-0.24
-0.19,-0.22
-0.19,-0.2
-0.19,-0.18
-0.19,-0.16
-0.19,-0.14
-0.19,-0.12
-0.19,-0.1
-0.19,-0.08
-0.19,-0.0599999999999999
-0.19,-0.04
-0.19,-0.02
-0.19,0
-0.19,0.02
-0.19,0.04
-0.19,0.06
-0.19,0.0800000000000001
-0.19,0.1
-0.19,0.12
-0.19,0.14
-0.19,0.16
-0.19,0.18
-0.19,0.2
-0.19,0.22
-0.19,0.24
-0.19,0.26
-0.19,0.28
-0.19,0.3
-0.19,0.32
-0.19,0.34
-0.19,0.36
-0.19,0.38
-0.19,0.4
-0.19,0.42
-0.19,0.44
-0.19,0.46
-0.19,0.48
-0.19,0.5
-0.19,0.52
-0.19,0.54
-0.19,0.56
-0.19,0.58
-0.19,0.6
-0.19,0.62
-0.19,0.64
-0.19,0.66
-0.19,0.68
-0.19,0.7
-0.19,0.72
-0.19,0.74
-0.19,0.76
-0.19,0.78
-0.19,0.8
-0.19,0.82
-0.19,0.84
-0.19,0.86
-0.145,-0.88
-0.145,-0.86
-0.145,-0.84
-0.145,-0.82
-0.145,-0.8
-0.145,-0.78
-0.145,-0.76
-0.145,-0.74
-0.145,-0.72
-0.145,-0.7
-0.145,-0.68
-0.145,-0.66
-0.145,-0.64
-0.145,-0.62
-0.145,-0.6
-0.145,-0.58
-0.145,-0.56
-0.145,-0.54
-0.145,-0.52
-0.145,-0.5
-0.145,-0.48
-0.145,-0.46
-0.145,-0.44
-0.145,-0.42
-0.145,-0.4
-0.145,-0.38
-0.145,-0.36
-0.145,-0.34
-0.145,-0.32
-0.145,-0.3
-0.145,-0.28
-0.145,-0.26
-0.145,-0.24
-0.145,-0.22
-0.145,-0.2
-0.145,-0.18
-0.145,-0.16
-0.145,-0.14
-0.145,-0.12
-0.145,-0.1
-0.145,-0.08
-0.145,-0.0599999999999999
-0.145,-0.04
-0.145,-0.02
-0.145,0
-0.145,0.02
-0.145,0.04
-0.145,0.06
-0.145,0.0800000000000001
-0.145,0.1
-0.145,0.12
-0.145,0.14
-0.145,0.16
-0.145,0.18
-0.145,0.2
-0.145,0.22
-0.145,0.24
-0.145,0.26
-0.145,0.28
-0.145,0.3
-0.145,0.32
-0.145,0.34
-0.145,0.36
-0.145,0.38
-0.145,0.4
-0.145,0.42
-0.145,0.44
-0.145,0.46
-0.145,0.48
-0.145,0.5
-0.145,0.52
-0.145,0.54
-0.145,0.56
-0.145,0.58
-0.145,0.6
-0.145,0.62
-0.145,0.64
-0.145,0.66
-0.145,0.68
-0.145,0.7
-0.145,0.72
-0.145,0.74
-0.145,0.76
-0.145,0.78
-0.145,0.8
-0.145,0.82
-0.145,0.84
-0.145,0.86
-0.145,0.88
-0.1,-0.88
-0.1,-0.86
-0.1,-0.84
-0.1,-0.82
-0.1,-0.8
-0.1,-0.78
-0.1,-0.76
-0.1,-0.74
-0.1,-0.72
-0.1,-0.7
-0.1,-0.68
-0.1,-0.66
-0.1,-0.64
-0.1,-0.62
-0.1,-0.6
-0.1,-0.58
-0.1,-0.56
-0.1,-0.54
-0.1,-0.52
-0.1,-0.5
-0.1,-0.48
-0.1,-0.46
-0.1,-0.44
-0.1,-0.42
-0.1,-0.4
-0.1,-0.38
-0.1,-0.36
-0.1,-0.34
-0.1,-0.32
-0.1,-0.3
-0.1,-0.28
-0.1,-0.26
-0.1,-0.24
-0.1,-0.22
-0.1,-0.2
-0.1,-0.18
-0.1,-0.16
-0.1,-0.14
-0.1,-0.12
-0.1,-0.1
-0.1,-0.08
-0.1,-0.0599999999999999
-0.1,-0.04
-0.1,-0.02
-0.1,0
-0.1,0.02
-0.1,0.04
-0.1,0.06
-0.1,0.0800000000000001
-0.1,0.1
-0.1,0.12
-0.1,0.14
-0.1,0.16
-0.1,0.18
-0.1,0.2
-0.1,0.22
-0.1,0.24
-0.1,0.26
-0.1,0.28
-0.1,0.3
-0.1,0.32
-0.1,0.34
-0.1,0.36
-0.1,0.38
-0.1,0.4
-0.1,0.42
-0.1,0.44
-0.1,0.46
-0.1,0.48
-0.1,0.5
-0.1,0.52
-0.1,0.54
-0.1,0.56
-0.1,0.58
-0.1,0.6
-0.1,0.62
-0.1,0.64
-0.1,0.66
-0.1,0.68
-0.1,0.7
-0.1,0.72
-0.1,0.74
-0.1,0.76
-0.1,0.78
-0.1,0.8
-0.1,0.82
-0.1,0.84
-0.1,0.86
-0.1,0.88
-0.055,-0.88
-0.055,-0.86
-0.055,-0.84
-0.055,-0.82
-0.055,-0.8
-0.055,-0.78
-0.055,-0.76
-0.055,-0.74
-0.055,-0.72
-0.055,-0.7
-0.055,-0.68
-0.055,-0.66
-0.055,-0.64
-0.055,-0.62
-0.055,-0.6
-0.055,-0.58
-0.055,-0.56
-0.055,-0.54
-0.055,-0.52
-0.055,-0.5
-0.055,-0.48
-0.055,-0.46
-0.055,-0.44
-0.055,-0.42
-0.055,-0.4
-0.055,-0.38
-0.055,-0.36
-0.055,-0.34
-0.055,-0.32
-0.055,-0.3
-0.055,-0.28
-0.055,-0.26
-0.055,-0.24
-0.055,-0.22
-0.055,-0.2
-0.055,-0.18
-0.055,-0.16
-0.055,-0.14
-0.055,-0.12
-0.055,-0.1
-0.055,0.1
-0.055,0.12
-0.055,0.14
-0.055,0.16
-0.055,0.18
-0.055,0.2
-0.055,0.22
-0.055,0.24
-0.055,0.26
-0.055,0.28
-0.055,0.3
-0.055,0.32
-0.055,0.34
-0.055,0.36
-0.055,0.38
-0.055,0.4
-0.055,0.42
-0.055,0.44
-0.055,0.46
-0.055,0.48
-0.055,0.5
-0.055,0.52
-0.055,0.54
-0.055,0.56
-0.055,0.58
-0.055,0.6
-0.055,0.62
-0.055,0.64
-0.055,0.66
-0.055,0.68
-0.055,0.7
-0.055,0.72
-0.055,0.74
-0.055,0.76
-0.055,0.78
-0.055,0.8
-0.055,0.82
-0.055,0.84
-0.055,0.86
-0.055,0.88
-0.01,-0.88
-0.01,-0.86
-0.01,-0.84
-0.01,-0.82
-0.01,-0.8
-0.01,-0.78
-0.01,-0.76
-0.01,-0.74
-0.01,-0.72
-0.01,-0.7
-0.01,-0.68
-0.01,-0.66
-0.01,-0.64
-0.01,-0.62
-0.01,-0.6
-0.01,-0.58
-0.01,-0.56
-0.01,-0.54
-0.01,-0.52
-0.01,-0.5
-0.01,-0.48
-0.01,-0.46
-0.01,-0.44
-0.01,-0.42
-0.01,-0.4
-0.01,-0.38
-0.01,-0.36
-0.01,-0.34
-0.01,-0.32
-0.01,-0.3
-0.01,-0.28
-0.01,-0.26
-0.01,-0.24
-0.01,-0.22
-0.01,-0.2
-0.01,-0.18
-0.01,-0.16
-0.01,-0.14
-0.01,-0.12
-0.01,-0.1
-0.01,0.1
-0.01,0.12
-0.01,0.14
-0.01,0.16
-0.01,0.18
-0.01,0.2
-0.01,0.22
-0.01,0.24
-0.01,0.26
-0.01,0.28
-0.01,0.3
-0.01,0.32
-0.01,0.34
-0.01,0.36
-0.01,0.38
-0.01,0.4
-0.01,0.42
-0.01,0.44
-0.01,0.46
-0.01,0.48
-0.01,0.5
-0.01,0.52
-0.01,0.54
-0.01,0.56
-0.01,0.58
-0.01,0.6
-0.01,0.62
-0.01,0.64
-0.01,0.66
-0.01,0.68
-0.01,0.7
-0.01,0.72
-0.01,0.74
-0.01,0.76
-0.01,0.78
-0.01,0.8
-0.01,0.82
-0.01,0.84
-0.01,0.86
-0.01,0.88
0.0349999999999999,-0.9
0.0349999999999999,-0.88
0.0349999999999999,-0.86
0.0349999999999999,-0.84
0.0349999999999999,-0.82
0.0349999999999999,-0.8
0.0349999999999999,-0.78
0.0349999999999999,-0.76
0.0349999999999999,-0.74
0.0349999999999999,-0.72
0.0349999999999999,-0.7
0.0349999999999999,-0.68
0.0349999999999999,-0.66
0.0349999999999999,-0.64
0.0349999999999999,-0.62
0.0349999999999999,-0.6
0.0349999999999999,-0.58
0.0349999999999999,-0.56
0.0349999999999999,-0.54
0.0349999999999999,-0.52
0.0349999999999999,-0.5
0.0349999999999999,-0.48
0.0349999999999999,-0.46
0.0349999999999999,-0.44
0.0349999999999999,-0.42
0.0349999999999999,-0.4
0.0349999999999999,-0.38
0.0349999999999999,-0.36
0.0349999999999999,-0.34
